1053_at,1554572_a_at,1554696_s_at,1556206_at,1558447_at,1558448_a_at,1562755_at,1569609_at,200795_at,202240_at,202613_at,202705_at,202779_s_at,202870_s_at,202954_at,203214_x_at,203358_s_at,203362_s_at,203418_at,203696_s_at,204092_s_at,204162_at,204508_s_at,204768_s_at,204825_at,204962_s_at,205225_at,205891_at,206209_s_at,207828_s_at,209408_at,209464_at,210052_s_at,211519_s_at,211565_at,214710_s_at,215304_at,215397_x_at,216092_s_at,216836_s_at,217383_at,218009_s_at,218039_at,218211_s_at,218355_at,218542_at,218755_at,219918_s_at,220054_at,220232_at,220581_at,221677_s_at,222608_s_at,223229_at,223861_at,224447_s_at,224753_at,225191_at,225687_at,227232_at,228241_at,228362_s_at,229150_at,235786_at,237086_at,238062_at,242555_at,243689_s_at,Class
8.36311,8.85273,7.48152,1.7062,2.7441,3.70181,2.44933,2.53289,10.1528,7.12087,8.29213,10.2079,9.89364,10.6462,11.7423,10.134,7.9449,11.185,8.59414,8.62584,8.40425,8.87495,2.2955,8.86355,11.3519,10.3236,3.43068,1.57237,2.22168,11.2647,8.81489,7.24769,10.6915,7.82659,2.04601,10.8546,2.62939,3.54164,5.34128,8.90936,1.4888,9.91605,10.9123,0.749024,7.99136,8.89371,7.94043,11.3286,3.85796,6.92953,2.26217,9.51965,10.8812,11.0554,8.10733,8.71633,8.46682,6.02664,10.7312,5.6618,1.8073,2.13512,3.20107,7.01581,2.03087,2.21535,2.72891,2.55811,Basal
8.72194,9.43771,9.71915,1.7065,2.30944,3.41319,2.44181,2.54328,9.4148,5.02352,8.10156,10.1266,10.2462,10.5054,10.8132,9.67031,10.134,10.374,7.86233,8.81626,7.67572,10.046,2.42187,9.18579,10.7665,9.13352,1.39794,1.63651,2.21219,10.8814,8.08284,6.84452,10.543,6.89988,2.04381,10.8209,5.1511,3.84529,4.59018,5.90628,2.71689,10.2717,11.2592,0.874297,7.34084,9.15386,9.8876,9.86637,3.96505,6.93884,2.24742,9.44924,9.66708,9.87715,11.8511,8.29859,8.60214,5.60516,9.37133,5.72621,1.82845,2.38723,2.52655,7.67162,1.94405,2.1851,2.94026,2.64597,Basal
7.78601,6.9482,7.78343,1.71388,2.78397,3.46019,2.47114,2.59736,11.1886,2.97226,6.61439,8.98982,9.35996,8.73316,10.111,8.28945,7.92991,9.42657,5.26395,8.13012,6.78376,7.83221,7.40741,6.41531,9.19466,7.64947,2.88125,1.58039,2.25596,9.09535,7.19041,6.34948,8.04147,4.7738,2.05501,10.2322,6.80878,4.42588,8.1462,14.7902,2.90932,9.23168,9.91665,9.71609,6.06081,7.00296,8.01113,8.30089,3.88459,7.01125,2.27538,8.14666,9.26879,8.3658,2.63069,13.6615,7.43965,6.90102,8.04324,6.48684,1.83649,2.10819,9.46466,9.79936,9.27777,2.22616,3.08365,2.57952,Her2
9.44537,9.90623,10.0187,1.72337,2.62504,3.55326,2.49241,2.63327,8.11718,7.06319,9.61333,10.4418,10.6825,11.0036,11.8922,10.1835,8.19207,11.4107,8.82599,9.88189,9.41112,10.1098,2.25458,8.0736,9.8786,10.8034,3.02346,6.30299,2.31394,10.8528,9.72089,7.4903,10.7799,8.63114,2.07886,11.396,2.70255,3.57941,4.51038,7.71579,2.62003,10.241,10.5348,0.846259,8.09985,8.96372,10.2185,10.8553,4.92453,7.16507,2.30476,8.21477,10.7953,9.7303,8.62712,8.83554,8.0618,4.67799,11.6138,3.79875,1.83823,3.78574,3.12853,6.94761,2.06366,2.31268,3.10962,2.67886,Basal
7.71242,6.77895,5.32339,1.72153,2.67039,3.34809,2.47935,2.58136,10.7003,3.2511,7.53388,9.02235,9.15403,8.38627,10.1823,8.80235,8.92308,9.83953,5.78158,8.14043,6.67574,8.47656,8.18642,7.15759,9.21101,7.99659,2.56285,2.89261,2.24512,9.01085,5.6531,6.07983,8.03599,3.35671,2.06549,10.2739,7.2764,5.44386,9.43922,14.5636,3.86434,8.89642,9.85351,10.9345,6.2304,7.49344,7.60348,9.04318,3.98502,7.2487,2.2741,7.64177,9.36755,9.38322,9.18709,11.8029,6.58991,5.47449,8.37435,3.15114,8.84976,2.40924,10.2276,7.78188,9.44686,2.24268,2.96645,2.61007,Her2
7.84274,7.56736,7.65871,1.70886,2.87373,4.4097,2.46008,2.54635,11.3926,2.953,7.1397,9.0731,8.64604,8.44868,9.25189,8.51113,8.14929,8.56001,4.2387,8.08311,6.12867,8.52029,6.6783,7.09518,8.76774,7.6719,1.99425,4.1668,2.21695,8.7018,7.11782,5.86411,8.10221,5.49661,2.04348,8.88792,5.68428,4.24007,7.84643,14.3538,4.10635,9.13431,9.92946,10.6589,6.33614,7.66647,8.72719,8.30419,4.0649,7.23805,2.26451,8.47581,9.91417,7.88617,2.67895,13.5423,6.88346,6.78776,8.28195,7.11009,8.43018,2.34126,10.7488,8.36394,8.2977,2.82312,2.93339,2.58023,Her2
7.56238,7.92411,7.72888,1.71176,2.75868,3.70967,2.44962,2.5899,10.4578,5.87808,8.06778,10.5255,9.68836,9.85855,10.7077,9.13668,7.96693,11.0192,7.59406,7.6886,7.85179,9.34407,2.9064,7.01737,9.83119,9.47327,3.41362,4.14385,2.25045,10.1999,8.23503,7.41452,9.6658,6.9184,2.04589,9.90006,2.21951,3.65801,7.24751,8.46858,0.996432,8.65282,10.2676,6.59241,7.01072,8.52097,9.28958,9.96398,4.79704,7.05252,2.27497,8.43928,8.54982,8.6097,8.92274,8.5593,7.49951,6.36331,9.27415,7.44883,1.88296,5.48849,5.90363,8.3237,2.03818,2.22991,2.80375,2.5702,Basal
8.0154,9.05076,8.5877,1.70691,2.55098,3.80714,2.44522,2.53139,10.7139,4.28489,8.28342,10.5726,9.4574,9.85783,10.7629,8.17379,9.03627,10.2263,7.8103,8.16349,8.20424,9.60885,2.93239,7.25811,9.99597,9.94374,2.75647,4.73236,2.21575,10.2894,7.68262,7.47336,9.92052,6.18362,2.04063,9.81658,2.55184,3.62152,5.40778,9.9324,3.06403,10.5265,9.91194,4.33724,7.66285,7.26094,8.86592,10.3967,5.32366,6.5005,2.25031,9.07723,9.32834,9.04239,7.32408,9.51656,7.01984,6.35708,10.4954,6.03881,3.12525,2.80364,4.29827,8.0703,2.00418,2.26891,2.90552,2.49659,Basal
9.37874,8.43127,12.4351,1.71314,2.78757,3.7159,2.46091,2.59364,10.65,5.78456,8.81195,10.7625,10.7154,11.3138,11.3693,10.5997,10.885,10.889,8.62963,9.75946,9.01766,11.6612,3.32544,8.49103,9.99883,9.76303,1.3781,1.57873,2.25296,11.1993,9.35542,8.28409,11.0704,8.42523,2.05281,11.1638,5.25554,3.85946,7.32489,6.83814,4.47045,10.3441,11.1882,1.88173,9.05662,8.41991,11.1378,10.9668,3.86677,7.01587,2.27334,8.94981,10.6576,9.46551,8.88581,7.17292,9.02283,6.61155,9.52919,6.09382,1.82607,2.14161,2.49056,7.96343,2.05018,2.22396,2.80572,2.60542,Basal
9.45426,9.15998,9.28715,1.71629,2.97258,3.73862,2.47326,2.58037,10.8399,5.45129,8.25395,9.31433,9.18751,9.47675,10.6562,10.8505,9.86037,11.2613,7.32181,9.93064,8.04853,9.57844,3.25437,8.79586,10.189,8.64944,1.47601,1.87262,2.2338,11.7628,8.16634,6.7117,9.75101,7.08141,2.06093,9.80347,2.52038,3.66309,4.57726,9.84851,2.87833,10.4859,10.04,1.48757,7.5336,8.03819,8.08379,10.9919,3.96209,7.19137,2.27642,10.2879,8.8223,11.6083,10.4037,10.1421,7.87551,6.89033,9.89107,5.10031,1.82296,2.36901,2.6156,7.35568,2.04391,2.26751,3.22607,2.58752,Basal
8.09954,8.89832,9.62847,1.70539,2.73809,4.25569,2.44241,2.51788,10.8413,4.92161,7.65385,10.1384,9.91065,9.58253,10.5103,9.21022,8.66033,10.906,7.92369,8.32762,8.39083,9.86065,3.07399,6.49129,10.9052,9.1855,2.63565,4.38422,2.21606,10.7634,7.8741,6.92413,9.47749,6.28797,2.0671,10.0881,3.17056,3.54387,5.03838,9.29072,2.68208,10.0118,10.6577,0.851954,6.1643,8.64156,8.25847,10.5877,3.88099,6.96346,2.26351,9.93077,9.53631,9.0879,2.60667,8.93374,6.92098,6.2492,9.98076,6.60626,1.79285,2.11181,2.04465,7.91679,2.01403,2.22243,3.43764,2.58564,Basal
