'ATP1B1','CDCA4','CLIC4','CNDP2','CRYZ','GATA3','GLRX','HOMER2','HSD17B11','IGFBP3','MTA1','PAX8','PROS1','SCYL3','SFN','SGCB','SLC37A4','SPDEF','SPP1','TFAP2A','TNIP1','USP7','XBP1','ZNF395','GAPDH',Class
98.107,9.7896,65.134,50.196,10.964,7.4,4.0173,20.638,3.2877,14.296,22.428,1.0495,12.427,5.0472,4.253,15.682,10.571,21.999,2.3699,24.547,30.892,29.073,97.219,23.762,1286.7,BRCA
58.619,5.5651,98.069,63.614,10.305,184.49,8.4465,11.349,14.266,62.175,15.311,1.0646,11.564,6.9406,20.562,16.568,8.0096,89.979,52.841,57.104,38.81,34.243,1101,15.379,1045.4,BRCA
185.85,5.8283,64.879,71.163,16.091,183.5,8.9155,16.579,6.0988,36.827,20.181,0.36072,8.5103,7.7113,23.175,10.175,7.5726,55.31,10.042,23.028,33.959,40.494,1045,25.762,1643.1,BRCA
91.413,7.2046,42.951,92.901,9.4465,159.79,14.954,15.49,13.864,57.761,21.025,0.34026,8.7746,6.6163,9.7876,5.4915,12.783,130.34,3.9688,24.276,36.438,35.02,1798.8,8.9649,1399.1,BRCA
51.876,4.5555,74.589,104.95,24.83,172.96,3.8618,7.5592,9.5585,24.089,20.899,1.5253,6.0112,4.6837,16.567,5.8652,12.961,145.72,75.988,26.031,33.672,71.414,1698.8,9.2053,2027.2,BRCA
89.71,3.69,117.19,95.395,10.05,93.452,7.7287,4.832,16.56,55.04,15.531,1.2157,7.3751,3.9758,6.3086,9.7254,5.7913,90.699,45.025,33.637,21.92,28.454,993.6,11.679,882.05,BRCA
117.14,8.1008,125.14,51.742,10.085,70.812,21.121,3.4021,12.286,52.33,19.195,0.045164,5.6377,12.509,30.767,8.1958,9.7449,75.038,126.78,33.579,27.133,37.431,710.37,10.607,700.64,BRCA
61.824,7.995,107.49,96.557,5.3644,145.04,5.4983,9.2637,24.767,47.45,15.324,0.50429,9.3892,5.2486,19.603,11.262,8.7082,49.016,31.079,29.439,39.73,36.063,1301.9,11.435,1717.3,BRCA
32.691,20.562,106.72,57.339,5.8658,0.076663,1.7404,23.896,9.0077,17.131,34.787,0.40313,1.2362,3.6779,1.4988,16.78,17.832,11.123,57.081,12.976,18.79,35.101,46.981,10.508,10581,BRCA
153.36,4.4207,60.426,56.184,26.776,147.48,12.674,14.263,7.6214,43.633,19.972,1.6015,5.8426,5.4757,35.261,11.506,4.2215,175.32,118.53,54.216,28.112,24.925,2165.1,12.456,2512.7,BRCA
106.34,9.7076,58.346,84.896,4.3014,123.47,13.191,6.4364,8.5677,27.014,16.521,0.32563,5.0782,8.21,15.685,5.6778,9.3976,92.448,28.8,14.886,45.927,33.99,944.75,12.652,1850.4,BRCA
23.323,11.822,80.179,14.19,11.099,0.53347,10.065,7.5791,3.632,11.394,40.227,0.051711,1.6614,4.7208,13.706,10.969,8.4741,173.1,58.286,69.777,15.521,69.87,107.49,18.249,1772.8,BRCA
49.355,11.595,129.79,74.841,30.129,2.9558,10.592,13.26,8.3182,66.811,31.999,0.41906,11.97,3.6032,34.916,12.267,8.0613,2.4301,94.804,10.353,52.135,27.687,82.111,11.513,8267,BRCA
371.61,3.695,56.871,50.472,13.097,284.6,8.6923,14.705,9.0828,49.177,9.7515,1.2029,4.2205,8.7177,33.187,20.074,5.0028,218.55,52.907,61.044,33.539,30.072,2787,9.6443,1047.8,BRCA
165.16,6.6902,79.886,88.872,33.708,152.87,6.2915,7.257,6.5586,40.463,18.341,1.1754,4.5852,5.6819,13.31,8.398,15.227,86.252,86.896,32.196,28.575,51.06,1358.3,9.8184,1050.7,BRCA
192.97,18.184,42.066,27.471,10.012,13.721,32.839,14.421,4.6661,29.618,29.138,0.079155,2.5609,3.5836,49.036,6.4824,10.197,16.252,15.221,29.719,35.566,15.706,68.011,2.7193,5068.8,BRCA
