APOF,C8orf4,CYP1A2,DNASE1L3,EGR1,FCN3,GPC3,RP11-701P16.4,RP4-734P14.4,SNRPB,VIPR1,ZNF343,Class
86,86,86,86,86,86,2.19406,63.4486,34.4382,34.4382,24.5539,34.4382,Normal
79.4258,71.2233,86,74.7466,86,86,16.6279,29.022,39.6556,39.6556,26.2106,39.6556,Normal
55.5791,86,43.6619,46.9971,86,52.4391,8.45284,80.0939,34.0951,34.0951,28.7288,34.0951,Normal
86,32.5853,86,71.07,86,72.9395,2.78946,86,44.1412,44.1412,19.0084,44.1412,Normal
86,86,82.7376,86,86,86,3.13726,86,34.9917,34.9917,23.3363,34.9917,Normal
86,61.5297,86,49.0057,86,86,17.248,84.3012,45.5287,45.5287,21.6256,45.5287,Normal
86,86,86,86,86,86,5.30628,46.8049,39.0703,39.0703,20.2487,39.0703,Normal
86,35.1409,86,86,86,84.0063,2.49211,86,30.5742,30.5742,28.5052,30.5742,Normal
86,59.4531,86,39.2101,86,37.5336,27.7766,42.9801,15.8234,15.8234,20.2577,15.8234,Normal
41.8666,86,53.6164,68.5397,74.6873,47.7665,25.9409,45.7348,47.4439,47.4439,42.3791,47.4439,Normal
86,86,86,44.4626,86,69.5954,1.46897,86,30.9417,30.9417,32.9428,30.9417,Normal
78.0237,86,86,28.3484,86,73.7439,8.3673,21.8458,37.6327,37.6327,23.8368,37.6327,Normal
86,86,86,45.932,86,78.4141,5.44476,64.971,33.8766,33.8766,17.0347,33.8766,Normal
56.6091,54.6883,56.5039,45.4732,86,86,5.531,11.3682,49.0194,49.0194,28.1966,49.0194,Normal
44.7809,69.1553,86,37.3921,86,80.6816,9.0946,86,30.9554,30.9554,30.8989,30.9554,Normal
86,86,86,50.3628,86,60.4643,22.6762,26.8164,43.6652,43.6652,12.947,43.6652,Normal
86,86,86,48.3498,86,73.8888,1.38496,86,34.3591,34.3591,24.2088,34.3591,Normal
86,41.1214,86,86,86,86,8.02722,56.3654,43.1247,43.1247,36.9436,43.1247,Normal
20.7439,86,86,70.1451,86,75.9861,7.93942,17.874,20.6934,20.6934,37.9432,20.6934,Normal
86,86,86,76.6356,86,86,6.99332,51.0445,36.5207,36.5207,20.2309,36.5207,Normal
41.8485,74.3825,86,62.6106,19.9249,84.6862,4.69965,27.9272,18.6753,18.6753,28.1697,18.6753,Normal
75.0246,60.161,86,29.6126,86,22.4204,21.8038,24.0514,12.707,12.707,12.9868,12.707,Normal
86,68.5839,86,64.8064,86,21.6264,27.1396,37.071,12.5666,12.5666,16.0386,12.5666,Normal
86,76.8086,86,86,86,86,2.72882,44.2114,34.0816,34.0816,20.5711,34.0816,Normal
62.7451,86,37.3956,38.6848,86,70.9349,4.951,46.0259,33.6691,33.6691,25.7038,33.6691,Normal
86,54.6097,86,86,86,86,22.7629,13.0554,40.2387,40.2387,19.0819,40.2387,Normal
86,55.0026,32.2821,23.2087,58.8686,66.5022,13.0822,51.7777,43.8745,43.8745,8.65951,43.8745,Normal
86,86,86,64.253,86,86,3.03756,63.4717,39.8002,39.8002,23.3762,39.8002,Normal
86,86,86,65.2535,86,86,7.79525,86,45.5353,45.5353,40.1605,45.5353,Normal
86,74.331,86,86,86,86,2.61331,55.9261,35.8897,35.8897,19.6659,35.8897,Normal
86,82.3583,86,62.0201,86,74.0517,1.57651,38.3024,35.3026,35.3026,15.2085,35.3026,Normal
86,79.6221,86,71.7387,86,86,12.1535,60.7236,39.3155,39.3155,24.6388,39.3155,Normal
86,56.8343,86,68.038,86,86,9.42006,45.6459,41.2182,41.2182,26.3787,41.2182,Normal
86,79.8516,70.8621,56.1078,86,68.4041,7.86183,86,17.3395,17.3395,17.7486,17.3395,Normal
86,57.8946,86,58.0986,86,22.9307,5.99655,86,13.2494,13.2494,19.071,13.2494,Normal
86,86,86,55.6346,86,43.3596,8.15545,54.4276,12.8863,12.8863,19.6563,12.8863,Normal
40.2471,57.0326,86,86,86,86,5.7431,29.7822,37.438,37.438,41.4778,37.438,Normal
86,81.3752,86,73.6234,86,86,2.89358,59.4206,40.7825,40.7825,16.6184,40.7825,Normal
86,84.7656,61.069,55.3817,86,86,15.5702,41.9014,38.7376,38.7376,11.5232,38.7376,Normal
86,84.0209,86,44.2483,86,64.2629,16.3938,32.8474,44.279,44.279,22.4533,44.279,Normal
86,86,86,76.7085,86,68.157,11.3766,54.5668,32.9604,32.9604,22.0253,32.9604,Normal
86,36.9642,86,86,86,86,14.435,14.7993,49.5054,49.5054,20.2091,49.5054,Normal
86,86,86,86,86,65.0163,6.99002,79.936,38.5427,38.5427,25.755,38.5427,Normal
86,86,86,86,86,86,23.0072,86,43.3386,43.3386,25.5613,43.3386,Normal
86,73.8102,84.1912,53.6231,86,83.1452,12.1237,18.423,45.9939,45.9939,15.5677,45.9939,Normal
86,35.8722,86,86,86,86,1.54683,81.5195,33.5597,33.5597,21.5462,33.5597,Normal
86,86,86,40.6266,86,71.4227,2.1497,55.9517,35.6992,35.6992,24.4159,35.6992,Normal
86,86,86,50.5351,86,86,15.3008,25.2476,27.251,27.251,23.6745,27.251,Normal
86,86,86,70.4375,86,86,2.55031,81.4029,32.8744,32.8744,19.0782,32.8744,Normal
86,86,86,59.8177,86,86,5.87549,63.8015,38.0981,38.0981,13.5826,38.0981,Normal
86,9.02614,13.1031,13.6304,3.54439,0.325111,65.3573,0.564099,56.0013,56.0013,1.38977,56.0013,Cancer
76.5519,9.36883,1.87797,45.2039,5.97076,11.6233,86,0.189756,86,86,1.24491,86,Cancer
4.65596,5.11255,0.0752252,15.9402,4.62955,2.32013,86,1.1938,86,86,2.85758,86,Cancer
2.32989,20.305,0.229714,13.8156,65.2003,10.9559,86,0.226871,86,86,0.589582,86,Cancer
1.43749,32.7466,0.0344233,0.676366,2.72144,0.477624,86,0.128089,86,86,0.527908,86,Cancer
1.99943,7.72856,0.344165,8.75824,6.97915,1.88345,86,0.585524,86,86,2.5642,86,Cancer
1.63102,4.10011,0.375299,1.87256,8.14471,0.551565,86,0.125174,86,86,0.226707,86,Cancer
20.7344,10.6401,0.255938,1.18317,3.31684,0.181566,86,0.769892,83.7858,83.7858,0.522215,83.7858,Cancer
3.50515,9.69647,0.575067,0.511882,2.40427,0.455592,86,5.55306,86,86,0.112385,86,Cancer
9.9599,21.7029,0.10938,11.2171,3.97966,0.812767,18.2123,1.67242,67.8931,67.8931,0.437471,67.8931,Cancer
11.8018,21.3022,0.136379,15.1223,39.9641,23.9175,86,0.277594,86,86,1.69122,86,Cancer
17.3672,10.9845,0.0800776,1.31525,5.73007,0.556538,86,0.162682,86,86,1.10533,86,Cancer
1.91971,19.2741,0.205759,3.72198,7.99598,0.735313,86,0.21908,86,86,1.43451,86,Cancer
7.83952,15.7884,0.0434557,1.46824,35.0301,0.90083,86,1.53117,81.2267,81.2267,0.644843,81.2267,Cancer
1.21882,18.3473,2.45337,3.71435,19.4048,1.62914,86,1.4925,86,86,0.236814,86,Cancer
8.83224,1.21426,9.92735,1.37738,1.80283,0.180091,86,0.695557,86,86,0.377921,86,Cancer
52.102,4.62177,0.816254,1.92084,2.62707,1.32388,86,1.44727,86,86,3.18415,86,Cancer
20.8527,26.3298,0.128841,2.12948,18.4426,0.902293,41.6629,0.482021,86,86,0.229478,86,Cancer
9.27472,63.745,0.107982,4.92085,51.4442,0.762322,86,0.293734,86,86,2.20657,86,Cancer
0.21483,4.59225,0.252901,1.11744,9.12171,0.701879,86,4.62149,86,86,1.44008,86,Cancer
0.592432,1.8197,0.121641,1.86319,1.29624,0.145935,86,0.415356,86,86,0.175373,86,Cancer
1.59073,18.2482,1.38489,2.51999,12.3238,0.979472,86,0.279164,86,86,0.649889,86,Cancer
3.99977,8.32377,0.237615,2.84506,9.86339,1.08232,86,0.145494,56.2772,56.2772,0.724727,56.2772,Cancer
35.7755,18.0215,55.9252,29.6278,38.4886,25.9775,86,10.9953,84.385,84.385,6.69504,84.385,Cancer
0.144829,25.6652,0.0347492,1.17544,86,1.06822,21.3083,0.347228,86,86,0.552473,86,Cancer
1.32777,8.02346,1.13784,1.87848,10.9197,0.685393,86,0.526358,86,86,0.404446,86,Cancer
4.59028,16.8827,5.51024,4.36158,4.67546,19.0586,43.9222,1.50191,77.9639,77.9639,1.5549,77.9639,Cancer
1.49158,6.35928,0.49722,1.02552,14.2455,0.142031,6.91167,0.728677,86,86,8.94333,86,Cancer
0.579537,12.9876,0.436204,0.555433,4.97721,0.282518,86,0.199397,86,86,0.852721,86,Cancer
0.0643709,38.4165,0.385681,9.71385,86,2.1742,82.5856,0.280644,56.8884,56.8884,6.89978,56.8884,Cancer
0.838628,10.9521,0.0303881,2.13079,1.32391,0.580946,86,0.0911612,86,86,0.159353,86,Cancer
3.08463,3.21208,0.589433,5.14233,7.53264,0.497124,86,0.026,86,86,2.54491,86,Cancer
16.8865,3.97064,0.118728,14.6602,14.1594,2.19091,29.7623,0.801159,85.0068,85.0068,1.13208,85.0068,Cancer
0.403367,23.2606,0.10515,6.41372,25.1454,6.53792,86,0.070171,86,86,0.904888,86,Cancer
1.19051,5.17443,0.0345015,7.63045,4.96451,0.801227,86,0.151364,86,86,0.280976,86,Cancer
1.96537,9.27286,0.775912,23.5727,23.5046,18.0675,11.242,0.2963,66.992,66.992,5.51396,66.992,Cancer
2.50248,45.0946,1.24869,5.40501,22.786,1.16415,86,0.279006,86,86,0.329943,86,Cancer
9.74821,16.9302,12.7924,21.7394,26.4124,15.6593,86,0.960177,86,86,6.00099,86,Cancer
0.955368,17.1252,0.1103,7.94438,35.5428,1.38616,86,0.715983,86,86,0.796335,86,Cancer
5.05655,8.87491,0.224176,1.28089,4.93996,0.402646,86,0.30314,86,86,0.135138,86,Cancer
86,15.3408,61.1893,46.8536,86,31.0511,17.3996,71.3965,36.8282,36.8282,8.86433,36.8282,Cancer
13.6738,25.0947,0.227606,13.4847,49.0872,1.18973,86,0.179555,80.0567,80.0567,1.26966,80.0567,Cancer
0.456919,33.2947,0.220888,0.846433,2.83756,1.33167,45.8862,0.170396,86,86,0.391389,86,Cancer
