CCT3,TOP2A,RRM2,PTTG1,LCAT,VIPR1,ESR1,FCN3,CYP2B6,NAT2,APOF,CYP1A2,FCN2,FOS,GPC3,ECM1,MT1F,CCNB1,CXCL14,PRC1,ASPM,STAB2,HAMP,Class
10.238,6.558,8.013,8.615,5.287,3.891,4.476,4.54,4.049,4.894,5.038,3.802,3.921,4.415,10.554,4.744,5.745,6.703,2.95,7.208,9.062,3.933,3.289,Cancer
9.799,5.934,6.441,8.25,3.808,4.337,3.9,5.116,4.37,3.953,4.134,6.491,3.771,6.224,10.738,5.074,6.379,6.976,3.782,6.273,7.432,3.729,7.402,Cancer
9.416,4.464,5.524,8.611,4.621,4.94,3.839,5.747,4.236,4.829,4.116,5.484,4.529,4.747,11.795,5.356,5.644,6.337,3.728,6.542,7.436,4.01,7.229,Cancer
8.026,4.09,3.339,4.888,7.344,7.391,6.165,7.955,7.85,8.912,7.486,11.513,5.803,6.764,4.967,6.955,10.249,3.484,7.279,3.637,3.674,4.735,12.155,Normal
7.908,3.439,3.442,4.856,8.629,8.263,7.676,9.175,7.786,9.649,8.307,11.937,5.649,10.107,3.391,7.606,11.767,3.579,6.876,3.529,3.804,5.91,11.868,Normal
8.343,3.539,3.583,4.928,8.506,8.258,7.486,9.028,6.715,9.47,8.297,11.422,5.581,10.247,3.688,7.437,11.632,3.456,7.162,3.714,3.762,5.547,12.201,Normal
9.796,5.097,6.467,7.716,4.254,5.048,4.925,7.968,4.417,6.033,4.549,7.344,3.735,6.769,11.347,5.565,5.993,5.244,4.494,6.054,7.699,4.091,11.161,Cancer
10.106,6.004,7.883,8.693,6.08,4.394,4.242,5.46,4.085,6.354,4.952,5.609,3.674,5.406,10.006,5.741,7.377,7.456,3.931,7.142,7.964,4.018,8.102,Cancer
9,5.345,5.996,7.945,6.785,4.22,4.578,5.922,4.759,5.328,6.537,6.466,3.508,6.34,10.808,5.44,8.581,5.703,3.019,6.406,7.603,4.102,8.878,Cancer
7.842,4.146,3.699,5.743,8.617,6.917,8.033,9.591,8.355,9.48,8.58,11.878,6.782,10.282,4,7.297,11.534,3.582,6.44,3.492,4.353,5.971,11.665,Normal
8.473,4.019,3.805,6.131,8.509,6.874,7.18,9.15,6.644,9.295,9.271,10.625,5.559,8.588,4.499,7.219,12.257,3.781,6.696,4.129,3.841,5.57,13.003,Normal
7.928,4.162,3.875,5.531,8.331,7.212,7.122,10.236,7.317,8.78,8.118,11.919,6.112,9.277,4.313,7.804,10.605,3.29,6.869,3.588,3.609,6.453,11.994,Normal
8.966,6.416,7.151,8.614,6.301,4.937,4.472,8.236,5.155,5.537,4.388,6.093,3.533,7.589,11.271,5.448,6.08,7.231,3.358,7.351,7.077,3.98,8.207,Cancer
8.382,4.067,3.413,5.655,8.04,8.622,6.839,9.659,7.086,8.585,7.447,10.932,6.004,9.481,6.713,8.254,9.782,3.66,7.359,3.454,3.685,6.069,11.969,Cancer
