IGSF10,GRK5,SPOCK2.1,FABP4,COL11A1,GRK5.3,EFNA4,SH3GL3.1,COL10A1,CA4,CA4.1,CST1,SGCG,GPM6A,GPM6A.1,SPP1.1,TNNC1,AGER,CLIC5,KANK3,SPTBN1.5,AGER.1,COL10A1.1,GOLM1.1,QKI.7,CCBE1,FRMD3,PCAT19,RTKN2,STXBP6.3,CCM2L.1,MASP1.3,CCDC85A.1,NCKAP5,SERTM1,COL11A1.2,Class
4.95197,6.27737,8.60144,7.58353,6.04125,8.50686,8.20533,6.05344,9.20833,6.89603,6.21657,7.86868,4.81081,4.95899,5.79177,8.78064,7.56503,9.0972,8.79319,6.5365,6.53858,7.68281,8.0087,12.1128,6.83675,6.87236,7.34232,6.29727,4.19828,8.26976,7.10884,6.21333,5.38086,4.11814,4.09143,5.7537,Cancer
4.69586,5.38056,8.44409,8.24369,5.10195,7.88152,7.86322,5.95334,9.46673,6.84327,6.95,7.16824,5.45129,5.06889,4.585,11.9681,7.13628,8.53862,8.24683,6.08881,5.98864,7.3199,7.79494,8.75553,6.7838,6.72735,5.95656,6.68811,3.9729,6.02054,6.23281,6.05958,4.97331,3.40786,4.87155,4.64723,Cancer
6.13421,6.78433,9.89768,8.13643,11.4842,9.99426,6.97212,5.97717,12.7516,8.58719,8.86094,10.7582,5.73336,5.61371,5.94073,12.7319,5.32755,8.87261,8.51561,7.72005,6.16938,7.17118,11.8443,9.15013,7.10125,7.25779,7.20658,8.23275,4.20079,8.14423,8.63178,6.70181,6.42188,4.56416,4.08808,11.5258,Cancer
5.6026,6.3798,7.96763,7.24312,4.93912,8.22103,8.87674,5.92685,10.6263,6.91088,5.84398,6.15855,5.54237,8.36829,7.98359,10.5832,6.85037,6.86471,8.52408,6.74523,5.97161,6.76456,10.0287,9.42616,6.7271,7.37752,6.16593,7.03685,3.74731,4.91776,7.07166,6.34739,5.70576,3.96403,3.87609,4.80556,Cancer
4.87291,5.99469,7.50781,6.17015,9.86354,7.86676,9.51581,5.76835,11.374,6.45942,5.11954,9.24968,5.03692,4.75786,3.97243,14.1009,6.69901,8.06559,8.85511,6.65819,5.51378,7.28154,10.598,10.937,7.11012,5.99225,5.17736,7.32637,3.94579,5.16309,6.74163,5.79535,5.30391,4.82867,3.83037,10.3001,Cancer
6.09864,7.32456,9.75577,10.4163,5.58133,9.64316,7.49531,6.25516,9.43055,6.36809,4.64242,5.78005,5.84294,7.80474,8.37706,9.64393,7.75023,9.06647,10.0848,7.65531,6.05397,7.97116,7.96745,9.54424,7.18578,7.58234,6.95658,8.22208,4.42369,5.08754,7.5855,6.71592,5.65397,4.45266,4.17419,5.42901,Cancer
3.90204,6.25382,7.47894,6.28851,8.84731,7.13715,7.98738,5.74682,9.93078,7.30476,5.24173,5.37294,4.96012,4.23611,4.23061,12.9764,4.64413,6.26334,5.91171,5.65923,6.58536,5.90337,9.18717,10.3826,6.44627,6.58172,5.96152,6.61812,4.85606,3.80878,6.11467,6.1986,5.14098,3.49174,3.7286,9.69612,Cancer
5.44893,6.0306,7.78151,5.41605,11.1131,8.1194,8.93798,8.11153,11.5361,6.95551,5.11076,8.81683,6.50099,4.04045,4.06887,14.0532,4.7635,5.83801,4.89625,6.15147,5.21829,6.52219,10.5918,10.3076,7.35034,6.09489,5.77351,6.83831,3.9056,4.20771,6.61873,6.56384,5.07841,4.42818,4.34444,11.7441,Cancer
5.53134,6.71735,8.50481,7.14026,9.02744,8.62535,8.60818,5.75088,11.4063,6.42349,5.71074,9.32156,5.23922,6.19351,6.39162,13.3524,6.58477,7.72673,9.17497,6.98181,6.16927,6.86785,10.5479,10.1613,7.25428,6.4227,6.37901,7.72203,4.93923,5.64672,7.15424,6.18908,6.38936,4.25967,3.9384,9.08688,Cancer
4.49035,5.3032,7.97479,8.37677,10.725,7.7867,9.01257,6.09975,12.4622,5.69168,5.484,9.10348,5.71957,6.07132,5.40678,13.8446,5.7255,6.04104,7.6151,6.08433,5.72057,6.22326,11.286,10.4529,7.3196,5.75071,5.24607,7.03542,3.89119,5.12096,6.20839,5.78036,4.34046,3.52202,4.06285,11.2598,Cancer
5.46232,5.97641,8.47953,9.53049,9.08306,8.57822,7.85206,5.88995,12.623,6.46307,5.4211,9.11039,6.03896,6.48102,6.37842,13.4212,6.818,6.38844,7.92523,6.67918,6.19686,5.79836,11.4604,10.3031,6.95463,7.04461,6.14148,6.82382,3.68706,5.96043,6.81496,5.37283,4.8711,4.52215,3.81113,9.76322,Cancer
6.51466,5.98256,9.49976,10.7927,7.88849,9.22615,8.79774,6.53921,8.43707,7.88037,7.94162,5.29986,5.46598,6.48648,7.1628,10.3001,7.35708,10.5254,10.2537,6.88596,6.71675,8.65209,6.57552,10.1679,7.12718,7.46284,6.53858,7.04012,5.35891,6.88622,6.94274,6.0979,6.17349,5.1882,4.13718,7.92775,Cancer
6.84861,6.98834,9.68845,10.6012,8.29105,9.92606,8.29056,6.28007,10.4221,8.14217,8.07907,5.3951,5.87777,8.01356,8.45329,13.348,7.76976,10.5891,9.75885,7.73822,7.37468,8.8401,9.46117,8.64645,7.40561,7.89409,6.51087,8.55829,4.72578,8.45729,6.90196,6.59381,6.74082,5.64932,4.31905,8.51598,Cancer
7.73318,7.1532,9.86387,10.5371,4.22351,10.3328,7.17736,6.87134,7.08326,9.53397,9.97812,4.33175,6.39113,8.82915,9.46413,10.9075,8.43104,11.0408,10.8541,7.96693,7.69662,9.35523,5.35264,9.15057,7.1597,8.9725,6.89225,8.67481,5.30719,9.40134,7.94892,7.8409,7.16689,6.11739,5.46158,3.99338,Cancer
