GABRB2,NPC2,LGALS1,SORD,TOB1,SLC20A2,ZBTB5,ST3GAL5,FGFR2,TG,DIO2,MMP1,CCL21,TFF3,RNF24,TRAPPC6A,HGD,MPPED2,SRPX2,MMRN1,RXRG,TNXA /// TNXB,DLG2,DIO1,OCA2,CDH16,SLC26A4,KCNJ2,FOXE1,CITED1,DPT,ACTN1,ID4,PPAP2B,GPM6A,ADH1B,PRKCQ,TSHR,TPO,PXDN,LRP4,ABR,FAM189A2,TWIST1,IPCEF1,RBM47,BEX1,DEPTOR,CSGALNACT1,LYVE1,CLIC3,LRP1B,GNA14,EPB41L4B,GPR83,BEX2,IER5L,FHDC1,AFAP1L2,PRR15,NMNAT3,IPW /// LOC101930404 /// PWARSN /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-22 /// SNORD116-28 /// SNORD116-4,ZCCHC12,COL23A1,C16orf89,USP51,LRRK2,GLT1D1,LPAR5,PKHD1L1,RP11-476D10.1,LIPH,RP4-813F11.4,DYNLRB2,BC017398 /// CTD-2314B22.3 /// DQ786293 /// DUXAP10 /// LL22NC03-N64E9.1,OTOS,Class
7.605964478,12.60014033,13.03795859,9.013579276,9.427768274,7.329465219,8.441085255,8.670418231,8.068035531,11.42943496,8.578407876,7.949816494,4.694287688,5.166787168,8.509507184,7.66194508,5.435717518,5.279555787,7.729013308,3.115188451,4.468897952,5.796126785,4.25347484,10.83674358,5.605793996,6.185950155,7.607867867,8.009169143,9.179889476,6.096231951,7.783368156,10.88912694,11.57760263,9.37301957,3.410857251,3.661980746,7.267502158,7.417347203,6.436398332,9.346993644,7.232538879,9.062079489,6.971090831,9.603761764,5.802762737,10.01925013,5.469409545,9.675718208,8.42359272,6.908321364,5.589446707,2.84922276,6.071604022,9.961253696,4.428848747,7.052333985,8.036866336,7.39216357,8.052172341,5.21402189,6.744425385,4.070350591,5.40751425,5.152505762,8.316910188,6.298883901,4.527531188,5.904280177,6.762946499,7.990751774,3.105735894,4.953107264,4.846854565,4.390990785,8.802761027,6.503822624,0
5.828795771,12.52428959,12.34738941,9.051960271,9.685354184,7.768238816,8.583295896,9.652431474,8.999295071,13.62312135,8.206186273,7.4856971,7.726136175,8.051371626,7.100145512,8.223821303,7.097956719,9.129596584,8.415928876,5.390748757,4.227860612,7.232268243,4.123104754,9.35709605,5.877164674,6.660573868,10.51188856,8.241670237,9.855946491,5.557578003,6.202140162,11.52228019,12.07001349,10.48187583,7.273642076,7.791708915,8.322912034,10.87157843,10.31683785,10.582302,7.400617044,9.240578082,9.414456058,7.117168897,7.948355514,11.01092407,7.504015334,10.45749998,9.381747538,5.556731976,9.352013855,4.741222089,7.07140572,10.3439202,6.102166977,9.953076785,7.740718277,8.511504234,7.639753176,5.654211198,6.632275642,9.425702546,5.075449885,8.053076778,9.181823705,7.394919054,6.458077452,6.203975301,6.407692323,8.852280013,2.99818038,5.765066466,3.994820283,5.46854552,6.383031202,6.562376458,0
8.656085296,12.98078532,12.74335724,7.275560433,9.462772854,7.219183422,7.998086221,10.58820219,7.237742738,13.07998341,7.202787222,6.957017811,5.449110903,6.206280304,6.736314375,7.336333766,5.664831036,6.263161841,7.93737937,3.036027356,6.57925117,7.026276335,4.114580802,6.899014867,5.774881435,5.610419472,8.080430978,9.971031519,9.038090954,12.09914264,7.360992764,11.45147428,10.77361985,11.02766637,4.002411159,4.433867581,7.211907163,9.666833007,7.8790646,9.809417434,9.659701904,9.494399227,7.516074902,7.672158318,6.250102878,10.0235948,6.674613068,8.093692009,8.19917033,5.367174511,8.200889839,2.515895106,4.542092887,8.638861516,4.71492428,9.103500334,8.233394797,7.958208297,7.077440745,8.268427969,6.147915059,8.562945347,7.638832791,5.719900691,8.222522764,6.915662577,9.827980236,6.282869332,9.471526461,3.160334856,6.164854343,6.046303382,3.852883057,3.848862687,7.822438782,6.195278735,0
5.693745881,11.22195411,13.86164377,7.082547889,8.573729912,6.019746919,8.037669458,8.908410949,8.475677117,5.623517328,6.742932047,9.308939149,5.61306839,5.218528435,8.455785522,6.865524861,5.491443253,5.943509654,9.467194953,3.632316866,4.008428166,6.323687606,3.916586431,3.193451533,5.721539784,5.061082092,2.8678204,8.742697904,3.289417683,5.956638243,9.086853122,12.20483552,7.457940917,7.776952582,3.631775247,3.968495592,6.031955139,4.279684278,4.602991404,11.16049218,8.859229768,9.395184784,4.712845522,9.218864289,5.107654509,7.020969917,6.056314486,6.451997134,8.005070895,7.113481329,4.979643625,2.991833773,4.209112598,6.105769572,4.917791685,4.606206277,8.228452235,6.81745806,6.181948099,4.208364061,5.730149251,4.91944555,4.852069926,5.37609002,5.088024066,7.027291324,4.853598393,5.996152804,7.281430474,3.0674596,3.117386383,4.803078566,3.521377761,4.544311272,9.130784322,4.907970936,0
5.112835165,11.17028608,13.77666935,6.413435512,8.713685224,6.343519918,8.14028489,7.2897085,4.495883976,5.251822488,5.770457447,13.9614902,5.502544166,6.001773523,7.87553496,6.728526737,5.57625168,3.356860249,10.366187,3.322953371,3.978573566,6.449809411,3.957592385,3.365252284,4.99501788,5.599292537,3.20646909,8.157472521,5.887873875,5.915957779,6.053451123,12.46708276,6.685430825,7.884747724,3.517803543,8.158907184,5.876223332,3.771422879,4.01753289,9.736632425,9.693779247,9.048128401,5.789517314,7.408526211,5.400665085,7.236381626,9.229000764,4.782624353,6.485014849,6.503611952,4.84675738,3.019795072,4.273388839,5.471219321,4.626662109,7.341230482,7.837770695,6.680477011,6.441680729,4.071749922,5.303408705,7.363525278,5.111347912,5.425564912,4.971615851,5.131751687,4.914105413,5.660061396,7.832176076,3.030581266,2.920598225,4.726135331,3.700767985,4.2344519,8.410071033,5.344169266,0
4.846139377,11.21271564,13.77845114,6.753486886,8.247662414,6.49264643,8.368515846,7.345209779,4.917451297,4.846207213,5.120463644,7.006513277,5.589457132,5.334925554,7.387616858,6.814141868,5.773857014,3.07755965,8.700631012,3.396093081,4.39343,6.575565294,3.81758261,3.645665152,4.998693689,5.739406631,4.73617135,7.286586986,3.300751177,6.233393558,5.848269828,12.50976155,4.810474208,7.669655899,3.465672626,3.648121783,6.658943945,3.70634919,4.606132988,12.17857664,6.750508114,9.571431748,5.440359912,7.52426683,5.906634615,7.717358368,5.581108819,6.444221234,6.78754714,6.526128432,4.9937762,3.104421245,4.07439391,5.722429376,4.582850024,4.451496605,7.737165333,6.759851503,5.969983203,3.959561881,5.501801066,6.304348813,4.824451644,4.9592839,5.535283799,6.05708738,4.707625752,5.594930604,6.082310519,2.994345676,3.07086798,4.582708163,3.547311923,3.961762556,9.132062339,5.335937886,0
5.275935258,11.63558563,12.98448904,6.194398955,9.604519863,7.865238809,7.747833161,8.291883918,4.422545077,5.158156236,6.568416497,6.979027729,5.6978028,5.655030987,8.451909441,6.530430586,5.133435148,3.275985206,7.643586172,3.226474307,3.898881292,7.616208935,4.149759801,3.495693726,5.139138153,6.147310744,3.109545532,7.321368659,4.375377325,5.936743377,6.75949154,12.6830381,7.117282641,7.782999894,4.904686887,4.368970159,7.410604435,3.646342971,4.576269011,10.70313096,4.781628221,8.997703751,6.004327796,7.880852544,5.610319021,8.913813621,5.662799507,6.727385604,7.899618751,8.519140133,6.729565456,3.741367602,4.870433323,5.945967177,4.667218279,9.265551062,8.215927672,7.488071088,4.633266865,4.392692265,5.820491193,8.019786586,5.150352514,5.67561544,5.251172876,6.449583928,6.04868308,6.016146781,7.287543354,3.442601923,3.034167611,5.812432684,3.839443299,4.326590569,9.491542745,4.794017582,0
6.976297859,10.47267695,12.90527488,6.884483877,6.986479126,6.409384482,8.184018875,7.949008727,5.384019366,6.663875569,6.64637886,9.040164559,7.237922116,6.887523342,6.490781293,7.562078495,5.914178009,4.50524817,8.930737836,3.182397172,4.82622719,6.541967959,4.717346092,3.316194921,6.587837769,5.056359497,4.587125409,7.990272571,5.272831789,6.640298321,6.884751109,11.83295386,7.824930399,6.896950113,4.228180672,3.963816417,7.319216426,3.907642303,4.236561864,10.43844863,5.498358909,9.126388578,5.321849434,8.8890127,6.084857315,7.897672319,5.980276698,7.035022785,7.589176655,6.569373994,5.222108148,3.443561158,4.962427787,6.343085346,5.481450715,5.266751521,7.779445457,7.631816786,5.615171239,4.734842484,6.089548307,7.209468369,5.254607179,7.023780066,4.74194649,5.71191288,4.560860902,6.1065815,7.151227198,3.141516482,3.192626605,5.041342311,3.704124609,4.56100986,9.348811014,4.387061024,0
6.055378608,12.29596277,13.82670216,7.039062124,8.986617138,7.217196622,8.03060759,8.317168259,5.392082383,6.773360694,4.568464255,8.917261769,8.203002892,6.720483052,7.806185526,7.879745459,4.857506457,3.042004225,10.41802506,4.485162923,4.40816641,6.054920811,3.739999489,3.484692063,5.484089546,5.288169304,4.597108642,8.35812164,4.570293224,6.164017319,6.197925556,12.35830657,6.594542447,8.265068994,5.484553724,3.612869018,5.879827547,3.589243154,4.805696943,11.54561596,6.023663256,9.468042526,4.835881122,8.506996487,5.066540203,8.519891114,5.823333439,7.244544453,7.521121053,7.305485182,4.572042767,2.975194864,4.403865592,4.635619561,4.699378742,5.908529481,8.654434293,6.391027211,4.433860467,3.685728401,6.462317188,8.090113772,5.069228185,5.041123324,5.018283402,7.090091354,5.975300254,5.875384727,7.623652969,3.042004225,2.923366786,4.708716298,4.644512774,5.248903102,10.9580667,4.831260447,0
4.980064833,11.51186996,13.67417144,6.46179277,9.322685349,7.005970118,7.517383439,7.713684179,3.904127346,6.559089812,5.314929896,12.08726853,5.845457577,5.628685597,8.498386221,6.967821695,5.33137855,3.423265132,8.601211099,3.847010416,4.094200488,6.743618743,3.893217461,3.416325497,5.396089716,5.946954041,3.859022297,8.67496024,6.644969697,6.057016571,6.405601461,12.26391817,7.804071832,7.914494675,3.1865836,4.118871157,6.138192069,3.618834591,4.740704706,10.45711681,6.986914808,9.157824148,5.282929048,6.121580739,5.965645315,9.377804495,5.74087817,6.490034036,7.336473753,7.689076953,5.088923203,2.801194847,3.917101431,7.110758255,4.346978367,6.705757108,7.348785314,6.40788696,5.104815943,3.981675821,5.795150124,5.90542466,5.287345186,5.074101794,5.136030049,5.641269005,6.185087946,6.845295734,7.271917542,3.215809788,3.155216741,4.338004348,3.327574438,4.401071356,8.802574271,5.096743523,0
